modo,estrategia,fecha,timestamp,load_real_kw,pv_real_kw,diesel_kw,discharge_kw,charge_kw,grid_net_kw,ens_kw,deficit_kw,soc_kwh,import_kw
isla,mpc-pi,2026-07-24,2026-07-24 00:00:00-05:00,11.269355206115684,0.15753180439213185,0.0,11.112,0.0,-0.0,0.0,0.0,130.0,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 01:00:00-05:00,10.694233346499276,0.172105152951879,0.0,10.522,0.0,0.0,0.00012819354739690425,0.00012819354739690425,118.30315789473684,0.0
isla,mpc-pi,2026-07-24,2026-07-24 02:00:00-05:00,10.694233346499276,0.2344960908620061,0.0,10.46,0.0,-0.0,0.0,0.0,107.22736842105263,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 03:00:00-05:00,10.694233346499276,0.14998172012469466,0.0,10.544,0.0,0.0,0.00025162637458109316,0.00025162637458109316,96.21684210526315,0.0
isla,mpc-pi,2026-07-24,2026-07-24 04:00:00-05:00,20.224824162999756,0.17208833012146615,0.0,20.053,0.0,-0.0,0.0,0.0,85.1178947368421,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 05:00:00-05:00,27.33168714254537,0.12964687886309242,50.0,0.0,22.798,0.0,4.026368227627586e-05,4.026368227627586e-05,64.00947368421052,0.0
isla,mpc-pi,2026-07-24,2026-07-24 06:00:00-05:00,29.385693784032547,0.3568695833053323,50.0,0.0,20.971,-0.0,0.0,0.0,85.66757368421051,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 07:00:00-05:00,43.17880217378388,2.4507735250477505,50.0,0.0,9.272,0.0,2.8648736126513086e-05,2.8648736128289443e-05,105.59002368421051,0.0
isla,mpc-pi,2026-07-24,2026-07-24 08:00:00-05:00,62.53112730631657,7.149529665965556,55.382,0.0,0.0,-0.0,0.0,0.0,114.39842368421051,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 09:00:00-05:00,62.94192863461401,12.623157981568296,50.319,0.0,0.0,-0.0,0.0,0.0,114.39842368421051,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 10:00:00-05:00,65.61213726854733,25.84334267134578,50.0,0.0,7.864,-0.0,0.0,0.0,114.39842368421051,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 11:00:00-05:00,67.17318231607759,26.965042244800443,50.0,0.0,9.792,0.0,0.00014007127714421586,0.0001400712771424395,121.86922368421051,0.0
isla,mpc-pi,2026-07-24,2026-07-24 12:00:00-05:00,73.66384330317705,28.335720857873607,50.0,0.0,4.672,0.0,0.0001224453034325279,0.00012244530343519244,131.17162368421052,0.0
isla,mpc-pi,2026-07-24,2026-07-24 13:00:00-05:00,66.59806045646117,26.887958876097873,50.0,0.0,10.29,0.0,0.00010158036330665254,0.00010158036329954712,135.61002368421052,0.0
isla,mpc-pi,2026-07-24,2026-07-24 14:00:00-05:00,62.44896704065709,23.79836303179631,50.0,0.0,11.349,-0.0,0.0,0.0,145.3855236842105,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 15:00:00-05:00,61.58628425123247,19.929262442178754,50.0,0.0,8.343,0.0,2.180905372028974e-05,2.1809053716737026e-05,156.16707368421052,0.0
isla,mpc-pi,2026-07-24,2026-07-24 16:00:00-05:00,62.0792458451894,13.951901932710498,50.0,0.0,1.873,0.0,0.0003439124788968684,0.00034391247889931087,164.09292368421052,0.0
isla,mpc-pi,2026-07-24,2026-07-24 17:00:00-05:00,63.252704616230645,6.499552722045366,56.753,0.0,0.0,0.0,0.0001518941852793887,0.0001518941852793887,165.8722736842105,0.0
isla,mpc-pi,2026-07-24,2026-07-24 18:00:00-05:00,80.0,1.2884026609168522,78.712,0.0,0.0,-0.0,0.0,0.0,165.8722736842105,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 19:00:00-05:00,63.84210898714483,0.07138851875450626,63.771,0.0,0.0,-0.0,0.0,0.0,165.8722736842105,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 20:00:00-05:00,34.561790520580224,0.3005326400221054,50.0,0.0,4.8,-0.0,0.0,0.0,165.8722736842105,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 21:00:00-05:00,26.5100844859505,0.1322071326900088,0.0,26.378,0.0,-0.0,0.0,0.0,170.43227368421051,-0.0
isla,mpc-pi,2026-07-24,2026-07-24 22:00:00-05:00,19.11566057659668,0.26723099344739853,0.0,18.848,0.0,0.0,0.0004295831492839852,0.0004295831492839852,142.66595789473683,0.0
isla,mpc-pi,2026-07-24,2026-07-24 23:00:00-05:00,15.171967824941312,0.1513366001713717,0.0,15.021,0.0,-0.0,0.0,0.0,122.82595789473683,-0.0
isla,mpc-pi,2026-07-25,2026-07-25 00:00:00-05:00,11.269355206115684,0.1010231824945534,0.0,11.168,0.0,0.0,0.00033202362113016193,0.00033202362113016193,107.0143789473684,0.0
isla,mpc-pi,2026-07-25,2026-07-25 01:00:00-05:00,10.694233346499276,0.3259453432444272,0.0,10.368,0.0,0.0,0.00028800325484823475,0.00028800325484823475,95.2585894736842,0.0
isla,mpc-pi,2026-07-25,2026-07-25 02:00:00-05:00,10.694233346499276,0.28214633486556034,0.0,10.412,0.0,0.0,8.701163371505061e-05,8.701163371505061e-05,84.34490526315788,0.0
isla,mpc-pi,2026-07-25,2026-07-25 03:00:00-05:00,10.694233346499276,0.19720688274317189,0.0,10.497,0.0,0.0,2.646375610382279e-05,2.646375610382279e-05,73.38490526315789,0.0
isla,mpc-pi,2026-07-25,2026-07-25 04:00:00-05:00,20.224824162999756,0.2113953988317697,0.0,20.013,0.0,0.0,0.0004287641679852072,0.0004287641679852072,62.335431578947365,0.0
isla,mpc-pi,2026-07-25,2026-07-25 05:00:00-05:00,27.33168714254537,0.2212811268612671,50.0,0.0,22.89,0.0,0.00040601568410636446,0.00040601568410281175,41.26911578947367,0.0
isla,mpc-pi,2026-07-25,2026-07-25 06:00:00-05:00,29.385693784032547,0.5807496310128154,50.0,0.0,0.0,-0.0,0.0,0.0,63.01461578947367,-0.0
isla,mpc-pi,2026-07-25,2026-07-25 07:00:00-05:00,43.17880217378388,3.9077808964091925,50.0,0.0,10.729,0.0,2.1277374685269024e-05,2.1277374685269024e-05,63.01461578947367,0.0
isla,mpc-pi,2026-07-25,2026-07-25 08:00:00-05:00,62.53112730631657,9.256976163831466,53.274,0.0,0.0,0.0,0.00015114248510172956,0.00015114248510172956,73.20716578947368,0.0
isla,mpc-pi,2026-07-25,2026-07-25 09:00:00-05:00,62.94192863461401,13.273424006457232,50.0,0.0,0.331,-0.0,0.0,0.0,73.20716578947368,-0.0
isla,mpc-pi,2026-07-25,2026-07-25 10:00:00-05:00,65.61213726854733,25.2426619748011,50.0,0.0,9.631,0.0,0.0004752937462342288,0.0004752937462342288,73.52161578947367,0.0
