modo,estrategia,n_dias,costo_medio_norm,costo_se_norm,cvar80_norm,costo_periodo_crudo,soc_final,costo_periodo_norm,ens_total_kwh,ens_horas,deficit_max_kw,diesel_L_total,diesel_h_total,viol_total
grid10,dmpc,14,61737.8865926953,1024.161908590718,66366.81276911109,863037.1861924708,113.83467368421056,864330.4122977342,0.0,0,3.552713678800501e-15,7281.767459214001,220,0
grid10,heur,14,72337.81054520333,487.887996838135,74824.92321860195,1005633.6627586944,41.30393907309672,1012729.3476328467,0.0,0,0.0,9888.232124434722,335,0
grid10,mpc-pi,14,56805.440807235565,197.62816579626912,57687.11790255352,798888.0129855084,175.14802105263138,795276.171301298,0.013683652455582495,57,0.0004876820424843,6380.313899637,209,0
grid10,smpc,14,61793.01234810415,960.3526732202153,65927.18860916999,867312.3815050368,157.6276078947369,865102.1728734581,0.0,0,1.7763568394002505e-15,7356.873369301,222,0
grid30,dmpc,14,59524.49777135242,1011.8295245844034,63762.54333661272,832477.6740620921,119.18381578947375,833342.9687989339,0.0,0,3.552713678800501e-15,6637.171932251002,198,0
grid30,heur,14,57019.96886062139,430.67734231887687,59286.838893889326,791183.8791745472,41.30393907309672,798279.5640486995,0.0,0,0.0,5940.232124434721,194,0
grid30,mpc-pi,14,55117.83546416648,144.7444507637029,55921.163696901385,774316.0781825413,163.32977105263163,771649.6964983307,0.0,0,8.881784197001252e-15,6060.684813073,198,0
grid30,smpc,14,59938.91869689511,931.6058617289012,63825.27711924358,836766.7110196893,100.2731157894737,839144.8617565315,0.0,0,0.0,6793.681215807999,202,0
isla,dmpc,14,68914.75037678835,2280.8547286077282,80462.67280164741,963245.2351697737,110.48412368421042,964806.5052750368,10.64961388839476,8,3.703076113737354,7869.667657278,241,0
isla,heur,14,72337.81054520333,487.8879968381345,74824.92321860195,1005633.6627586944,41.30393907309672,1012729.3476328467,1.4210854715202004e-14,0,0.0,9888.232124434722,335,0
isla,mpc-pi,14,60312.93233862904,241.88124081298764,61592.64196652282,846325.9790565963,154.31157894736845,844381.0527408066,0.0405719739592502,160,0.0009422579639153,7084.399191867999,234,0
isla,smpc,14,66859.62398334945,1114.8088962991594,71752.43792655792,933626.1357668922,99.89249999999976,936034.7357668923,3.451167686718449,3,2.299076113737354,8006.0745733329995,245,0
