,smpc,dmpc,heur,mpc-pi
2026-07-24,63363.538497414665,63636.37849741467,55188.066517383966,57240.79184957619
2026-07-25,126709.6276372408,127255.3076372408,110194.19084391042,113885.58308439521
2026-07-26,190042.94489693275,190861.46489693277,165696.5437318385,170995.07345628447
2026-07-27,253401.9992181864,254493.3592181864,220887.03551078273,227845.78467291084
2026-07-28,316767.2660463597,318131.46604635974,275983.19996769144,284715.9349905973
2026-07-29,380128.3509576232,381765.39095762325,331240.53656179504,341552.04196805164
2026-07-30,436304.0942537026,437190.26269210264,386617.7829829063,398901.66556323884
2026-07-31,492563.23801091,492550.17269651,441880.65900544863,455749.4487491745
2026-08-01,548252.9572453004,547712.5656521004,496890.6723338271,512824.7459183899
2026-08-02,603898.3111648113,603536.7896960112,551886.790430862,569538.8121180795
2026-08-03,659725.6891027301,659662.6753010378,607725.9214814571,627296.0893628281
2026-08-04,715362.1600009872,715198.5309159949,662905.3015119752,684088.3025255315
2026-08-05,772760.605252177,772101.1854798858,719682.7704389325,742545.6823497482
2026-08-06,830614.1737963366,829451.9611367707,776175.7333674814,800720.1164104452
