hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,ens_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
0,2026-08-05 00:00:00-05:00,0.20950673925335314,2.876712328851813,0.0,0.0002055895984600653,0.0,2.667,0.0,0.0,45.0,130.0,0,0.0,40.0092515319307,80.00999999999999
1,2026-08-05 01:00:00-05:00,0.2404385590951079,2.8767123850971856,0.0,0.00027382600207781493,0.0,2.636,0.0,0.0,45.0,127.19263157894737,0,0.0,40.012322170093505,79.08
2,2026-08-05 02:00:00-05:00,0.2590750496011348,2.876726112278856,0.0,-0.00034893732227869734,0.0,2.618,0.0,0.0,45.0,124.4178947368421,0,0.0,40.0,78.53999999999999
3,2026-08-05 03:00:00-05:00,0.2632385895262946,2.877953080952517,0.0,-0.0002855085737780705,0.0,2.615,0.0,0.0,45.0,121.66210526315788,0,0.0,40.0,78.45
4,2026-08-05 04:00:00-05:00,0.19776741203450013,2.917800398155143,0.0,3.298612064250861e-05,0.0,2.72,0.0,0.0,45.0,118.90947368421051,0,0.0,40.001484375428916,81.60000000000001
5,2026-08-05 05:00:00-05:00,0.1295468423967048,3.3772674859436367,0.0,-0.00027935645306831347,0.0,3.248,0.0,0.0,45.0,116.04631578947367,0,0.0,40.0,97.44000000000001
6,2026-08-05 06:00:00-05:00,0.45878719111805033,5.120044905786454,0.0,0.0002577146684039633,0.0,4.661,0.0,0.0,80.0,112.62736842105261,0,0.0,40.02061717347232,139.82999999999998
7,2026-08-05 07:00:00-05:00,2.095209828769032,6.575342465753426,0.0,0.00013263698439303084,0.0,4.48,0.0,0.0,80.0,107.72105263157893,0,0.0,40.01061095875144,134.4
8,2026-08-05 08:00:00-05:00,4.487356115782085,5.120044905786454,0.0,-0.00031120999563150065,0.0,0.633,0.0,0.0,80.0,103.00526315789472,0,0.0,40.0,18.990000000000002
9,2026-08-05 09:00:00-05:00,7.249223888938773,3.3772674859436367,0.0,-3.8719564029951363,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
10,2026-08-05 10:00:00-05:00,15.589723913442825,2.917800398155143,0.0,-12.671923515287682,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
11,2026-08-05 11:00:00-05:00,16.805594537417253,2.8779530809525737,0.0,-13.927641456464679,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
12,2026-08-05 12:00:00-05:00,17.644507079323276,2.8767261123823644,0.0,-14.767780966940911,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
13,2026-08-05 13:00:00-05:00,14.864984342723815,2.8767124539450397,0.0,-11.988271888778776,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
14,2026-08-05 14:00:00-05:00,11.41941174224601,2.8767291753661524,0.0,-8.542682566879858,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
15,2026-08-05 15:00:00-05:00,9.387798923502844,2.8782288036604284,0.0,-6.509570119842415,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
16,2026-08-05 16:00:00-05:00,7.156225792073687,2.9269310802413693,0.0,-4.229294711832317,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
17,2026-08-05 17:00:00-05:00,3.9372381397860665,3.488501965316195,0.0,-0.4487361744698717,0.0,0.0,0.0,0.0,80.0,102.33894736842103,0,0.0,40.0,0.0
18,2026-08-05 18:00:00-05:00,1.1940995420254403,5.618563256235194,0.0,0.0004637142097534408,0.0,4.424,0.0,0.0,80.0,102.33894736842103,0,0.0,40.037097136780275,132.72
19,2026-08-05 19:00:00-05:00,0.31228297618850703,7.397260273972603,0.0,-2.2702215903613876e-05,0.0,7.085,0.0,0.0,140.0,97.68210526315788,0,0.0,40.0,212.55
