hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
0,2026-07-18 00:00:00-05:00,0.1010231824945534,2.876712328851813,50.0,-47.224310853642734,0.0,0.0,0.0,45.0,130.0,0,2800.0,-2085.093988413923,0.0
1,2026-07-18 01:00:00-05:00,0.3259453432444272,2.8767123850971856,50.0,-34.29123295814724,13.158,0.0,0.0,45.0,130.0,0,2800.0,-1503.105483116626,0.26316
2,2026-07-18 02:00:00-05:00,0.28214633486556034,2.876726112278856,50.0,-47.4054202225867,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2093.2439100164015,0.0
3,2026-07-18 03:00:00-05:00,0.19720688274317189,2.877953080952517,50.0,-47.31925380179066,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2089.3664210805796,0.0
4,2026-07-18 04:00:00-05:00,0.2113953988317697,2.917800398155143,50.0,-47.293595000676625,0.0,0.0,0.0,45.0,142.5001,0,2800.0,-2088.2117750304483,0.0
5,2026-07-18 05:00:00-05:00,0.2212811268612671,3.3772674859436367,50.0,3.1559863590823727,50.0,0.0,0.0,45.0,142.5001,0,2800.0,182.01938615870677,1.0
6,2026-07-18 06:00:00-05:00,0.3001967742536355,5.120044905786454,161.111,-156.29115186846718,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12463.292149477375,0.0
7,2026-07-18 07:00:00-05:00,1.974326025756989,6.575342465753426,161.111,-156.50998356000355,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12480.798684800284,0.0
8,2026-07-18 08:00:00-05:00,6.020282647590786,5.120044905786454,161.111,-162.01123774180434,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-12920.899019344346,0.0
9,2026-07-18 09:00:00-05:00,11.4599595253742,3.3772674859436367,161.111,-169.19369203943054,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13495.495363154443,0.0
10,2026-07-18 10:00:00-05:00,24.938806284707187,2.917800398155143,161.111,-183.13200588655204,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14610.560470924163,0.0
11,2026-07-18 11:00:00-05:00,24.71261653755087,2.8779530809525737,161.111,-182.94566345659828,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14595.653076527862,0.0
12,2026-07-18 12:00:00-05:00,23.392712916066596,2.8767261123823644,161.111,-181.62698680368422,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14490.158944294737,0.0
13,2026-07-18 13:00:00-05:00,22.809597027978796,2.8767124539450397,161.111,-181.04388457403374,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14443.5107659227,0.0
14,2026-07-18 14:00:00-05:00,21.092749343528983,2.8767291753661524,161.111,-179.32702016816282,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-14306.161613453025,0.0
15,2026-07-18 15:00:00-05:00,16.251720050643595,2.8782288036604284,161.111,-174.48449124698317,0.0,0.0,0.0,80.0,190.0,0,10701.2254321,-13918.759299758654,0.0
