hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,ens_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
0,2026-08-05 00:00:00-05:00,0.20950673925335314,2.876712328851813,0.0,2.66720558959846,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,160.0242515319307,0.0
1,2026-08-05 01:00:00-05:00,0.2404385590951079,2.8767123850971856,0.0,2.636273826002078,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,158.63232217009352,0.0
2,2026-08-05 02:00:00-05:00,0.2590750496011348,2.876726112278856,0.0,2.617651062677721,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,157.79429782049743,0.0
3,2026-08-05 03:00:00-05:00,0.2632385895262946,2.877953080952517,0.0,2.614714491426222,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,157.66215211418,0.0
4,2026-08-05 04:00:00-05:00,0.19776741203450013,2.917800398155143,0.0,2.7200329861206427,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,162.40148437542894,0.0
5,2026-08-05 05:00:00-05:00,0.1295468423967048,3.3772674859436367,0.0,3.247720643546932,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,186.14742895961194,0.0
6,2026-08-05 06:00:00-05:00,0.45878719111805033,5.120044905786454,0.0,1.7842577146684038,0.0,2.877,0.0,0.0,80.0,130.0,0,0.0,182.7406171734723,86.30999999999999
7,2026-08-05 07:00:00-05:00,2.095209828769032,6.575342465753426,0.0,2.1691326369843935,0.0,2.311,0.0,0.0,80.0,126.97157894736841,0,0.0,213.53061095875148,69.33
8,2026-08-05 08:00:00-05:00,4.487356115782085,5.120044905786454,0.0,0.6326887900043685,0.0,0.0,0.0,0.0,80.0,124.53894736842105,0,0.0,90.61510320034948,0.0
9,2026-08-05 09:00:00-05:00,7.249223888938773,3.3772674859436367,0.0,-1.5169564029951368,2.355,0.0,0.0,0.0,80.0,124.53894736842105,0,0.0,40.0,70.65
10,2026-08-05 10:00:00-05:00,15.589723913442825,2.917800398155143,0.0,-5.498923515287682,7.173,0.0,0.0,0.0,80.0,126.77619736842105,0,0.0,40.0,215.19
11,2026-08-05 11:00:00-05:00,16.805594537417253,2.8779530809525737,0.0,-13.927641456464679,0.0,0.0,0.0,0.0,80.0,133.59054736842106,0,0.0,40.0,0.0
12,2026-08-05 12:00:00-05:00,17.644507079323276,2.8767261123823644,0.0,-14.767780966940911,0.0,0.0,0.0,0.0,80.0,133.59054736842106,0,0.0,40.0,0.0
13,2026-08-05 13:00:00-05:00,14.864984342723815,2.8767124539450397,0.0,-10.990271888778777,0.998,0.0,0.0,0.0,80.0,133.59054736842106,0,0.0,40.0,29.94
14,2026-08-05 14:00:00-05:00,11.41941174224601,2.8767291753661524,0.0,-8.542682566879858,0.0,0.0,0.0,0.0,80.0,134.53864736842107,0,0.0,40.0,0.0
15,2026-08-05 15:00:00-05:00,9.387798923502844,2.8782288036604284,0.0,-6.509570119842415,0.0,0.0,0.0,0.0,80.0,134.53864736842107,0,0.0,40.0,0.0
16,2026-08-05 16:00:00-05:00,7.156225792073687,2.9269310802413693,0.0,-4.229294711832317,0.0,0.0,0.0,0.0,80.0,134.53864736842107,0,0.0,40.0,0.0
17,2026-08-05 17:00:00-05:00,3.9372381397860665,3.488501965316195,0.0,-1.4977361744698716,0.0,1.049,0.0,0.0,80.0,134.53864736842107,0,0.0,40.0,31.47
18,2026-08-05 18:00:00-05:00,1.1940995420254403,5.618563256235194,0.0,1.547463714209754,0.0,2.877,0.0,0.0,80.0,133.43443684210527,0,0.0,163.79709713678034,86.30999999999999
19,2026-08-05 19:00:00-05:00,0.31228297618850703,7.397260273972603,0.0,4.207977297784096,0.0,2.877,0.0,0.0,140.0,130.40601578947368,0,0.0,629.1168216897734,86.30999999999999
20,2026-08-05 20:00:00-05:00,0.04663775463097299,5.618563256235194,0.0,2.693925501604221,0.0,2.878,0.0,0.0,140.0,127.3775947368421,0,0.0,417.14957022459095,86.34
21,2026-08-05 21:00:00-05:00,0.1320624302667438,3.488501965316195,0.0,0.42943953504945087,0.0,2.927,0.0,0.0,140.0,124.34812105263157,0,0.0,100.12153490692313,87.81
22,2026-08-05 22:00:00-05:00,0.25280112390508297,2.9269310802413693,0.0,-0.8148700436637135,0.0,3.489,0.0,0.0,80.0,121.26706842105263,0,0.0,40.0,104.67
23,2026-08-05 23:00:00-05:00,0.21218930365263286,2.8782288036603814,0.0,-2.9529604999922516,0.0,5.619,0.0,0.0,80.0,117.59443684210525,0,0.0,40.0,168.57
0,2026-08-06 00:00:00-05:00,0.23986752407319875,2.876712328851813,0.0,2.636844804778614,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,158.65801621503763,0.0
1,2026-08-06 01:00:00-05:00,0.19126550204361722,2.8767123850971856,0.0,2.6854468830535683,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,160.84510973741055,0.0
2,2026-08-06 02:00:00-05:00,0.17478303940989617,2.876726112278856,0.0,2.7019430728689597,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,161.5874382791032,0.0
3,2026-08-06 03:00:00-05:00,0.28851014848102285,2.877953080952517,0.0,2.589442932471494,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,156.52493196121722,0.0
4,2026-08-06 04:00:00-05:00,0.0776048429674756,2.917800398155143,0.0,2.840195555187667,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,167.808799983445,0.0
5,2026-08-06 05:00:00-05:00,0.12340297196361621,3.3772674859436367,0.0,3.2538645139800204,0.0,0.0,0.0,0.0,45.0,130.0,0,0.0,186.42390312910092,0.0
6,2026-08-06 06:00:00-05:00,0.4405944189158734,5.120044905786454,0.0,1.8024504868705806,0.0,2.877,0.0,0.0,80.0,130.0,0,0.0,184.19603894964644,86.30999999999999
7,2026-08-06 07:00:00-05:00,2.2674563077049084,6.575342465753426,0.0,2.0348861580485176,0.0,2.273,0.0,0.0,80.0,126.97157894736841,0,0.0,202.79089264388142,68.19
8,2026-08-06 08:00:00-05:00,4.786153844087214,5.120044905786454,0.0,0.26289106169924015,0.0,0.071,0.0,0.0,80.0,124.57894736842104,0,0.0,61.03128493593921,2.13
9,2026-08-06 09:00:00-05:00,5.390980347888514,3.3772674859436367,0.0,-2.0137128619448776,0.0,0.0,0.0,0.0,80.0,124.50421052631577,0,0.0,40.0,0.0
10,2026-08-06 10:00:00-05:00,11.342859764956616,2.917800398155143,0.0,-2.2630593668014733,6.162,0.0,0.0,0.0,80.0,124.50421052631577,0,0.0,40.0,184.85999999999999
11,2026-08-06 11:00:00-05:00,14.917346776113035,2.8779530809525737,0.0,-5.6413936951604615,6.398,0.0,0.0,0.0,80.0,130.35811052631578,0,0.0,40.0,191.94
12,2026-08-06 12:00:00-05:00,19.225224774046566,2.8767261123823644,0.0,-16.348498661664202,0.0,0.0,0.0,0.0,80.0,136.4362105263158,0,0.0,40.0,0.0
13,2026-08-06 13:00:00-05:00,20.909293695821308,2.8767124539450397,0.0,-18.03258124187627,0.0,0.0,0.0,0.0,80.0,136.4362105263158,0,0.0,40.0,0.0
