baseline,horizon_h,cloud_cover,diffuse_radiation,direct_normal_irradiance,precipitation,relative_humidity_2m,shortwave_radiation,surface_pressure,temperature_2m,wind_speed_100m,wind_speed_10m
arima,1,7.359,52.345,101.917,0.315,3.664,90.39,0.289,0.517,1.711,1.338
arima,6,16.854,136.777,364.727,0.562,9.983,455.521,1.691,2.572,2.327,2.109
arima,12,15.3,143.792,380.501,0.549,12.749,499.597,2.072,3.7,2.246,2.221
arima,24,16.921,67.36,284.723,0.428,10.638,189.852,1.224,1.664,2.268,1.74
climatology,1,15.621,44.932,166.472,0.514,7.722,85.539,0.831,0.988,2.21,1.369
climatology,6,15.891,34.517,163.241,0.567,7.97,87.456,0.785,1.016,2.116,1.417
climatology,12,16.036,47.629,176.436,0.507,7.159,86.305,0.815,0.889,1.966,1.333
climatology,24,14.767,41.929,190.494,0.591,8.131,106.44,0.803,1.152,2.18,1.404
persistence,1,14.244,61.419,210.59,0.544,7.422,102.452,0.709,0.948,2.521,1.527
persistence,6,15.504,44.515,171.685,0.464,7.363,90.029,0.653,0.928,2.187,1.504
persistence,12,15.519,51.941,200.346,0.45,7.6,114.691,0.682,1.081,2.31,1.387
persistence,24,17.022,51.97,202.036,0.621,8.919,109.746,0.735,1.11,2.447,1.645
