baseline,horizon_h,variable,mae,se,err
persistence,1,temperature_2m,0.1999999999999993,0.039999999999999716,-0.1999999999999993
persistence,1,relative_humidity_2m,7.0,49.0,-7.0
persistence,1,cloud_cover,47.0,2209.0,47.0
persistence,1,wind_speed_100m,1.4000000000000004,1.960000000000001,1.4000000000000004
persistence,1,wind_speed_10m,0.6999999999999997,0.4899999999999996,0.6999999999999997
persistence,1,surface_pressure,0.40000000000009095,0.16000000000007275,0.40000000000009095
persistence,1,precipitation,0.5,0.25,0.5
persistence,6,temperature_2m,0.8999999999999986,0.8099999999999974,0.8999999999999986
persistence,6,relative_humidity_2m,7.0,49.0,7.0
persistence,6,cloud_cover,62.0,3844.0,62.0
persistence,6,wind_speed_100m,0.7999999999999999,0.6399999999999999,0.7999999999999999
persistence,6,wind_speed_10m,0.09999999999999998,0.009999999999999995,-0.09999999999999998
persistence,6,surface_pressure,2.1000000000000227,4.410000000000095,2.1000000000000227
persistence,6,precipitation,0.3,0.09,0.3
persistence,12,shortwave_radiation,266.0,70756.0,-266.0
persistence,12,direct_normal_irradiance,533.6999999999999,284835.68999999994,-533.6999999999999
persistence,12,diffuse_radiation,180.0,32400.0,180.0
persistence,12,temperature_2m,2.5,6.25,-2.5
persistence,12,relative_humidity_2m,19.0,361.0,19.0
persistence,12,cloud_cover,46.0,2116.0,46.0
persistence,12,wind_speed_100m,1.5,2.25,-1.5
persistence,12,wind_speed_10m,1.6000000000000005,2.560000000000002,-1.6000000000000005
persistence,12,surface_pressure,0.7000000000000455,0.49000000000006366,-0.7000000000000455
persistence,12,precipitation,4.8,23.04,4.8
persistence,24,temperature_2m,0.5,0.25,-0.5
persistence,24,relative_humidity_2m,4.0,16.0,4.0
persistence,24,cloud_cover,5.0,25.0,-5.0
persistence,24,wind_speed_100m,0.7000000000000002,0.49000000000000027,-0.7000000000000002
persistence,24,wind_speed_10m,0.29999999999999993,0.08999999999999996,-0.29999999999999993
persistence,24,surface_pressure,0.0,0.0,0.0
persistence,24,precipitation,1.4,1.9599999999999997,-1.4
