contendiente,horizonte_h,cloud_cover,diffuse_radiation,direct_normal_irradiance,precipitation,relative_humidity_2m,shortwave_radiation,surface_pressure,temperature_2m,wind_speed_100m,wind_speed_10m
climatology,1,21.034,40.771,155.392,0.12,8.938,64.866,0.723,1.04,2.935,1.638
climatology,6,21.514,41.588,185.205,0.18,9.479,86.424,0.741,1.105,2.974,1.749
climatology,12,21.56,41.588,185.205,0.18,9.49,86.424,0.742,1.097,2.97,1.761
climatology,24,21.544,41.26,181.793,0.172,9.522,85.132,0.734,1.096,3.004,1.773
climatology,48,21.72,42.522,183.853,0.176,9.874,84.756,0.742,1.117,3.027,1.781
climatology,72,21.798,41.941,182.911,0.165,9.989,83.721,0.742,1.096,3.055,1.781
ecmwf_crudo,1,14.691,,,,11.838,40.745,1.932,1.169,,9.497
ecmwf_crudo,6,13.394,,,,12.497,46.225,1.615,1.169,,8.783
ecmwf_crudo,12,13.406,,,,12.525,46.225,1.614,1.171,,8.787
ecmwf_crudo,24,13.606,,,,12.562,47.031,1.6,1.182,,8.844
ecmwf_crudo,48,13.419,,,,12.681,47.281,1.597,1.185,,8.96
ecmwf_crudo,72,13.506,,,,12.762,46.869,1.59,1.204,,9.09
mos,1,14.691,37.439,141.229,0.087,5.828,37.905,0.36,0.62,4.668,2.512
mos,6,13.394,43.498,159.027,0.123,6.738,46.691,0.43,0.813,4.714,2.541
mos,12,13.406,45.568,159.447,0.123,7.005,46.984,0.434,0.811,4.76,2.574
mos,24,13.606,45.559,162.506,0.113,6.991,48.673,0.433,0.811,4.826,2.62
mos,48,13.419,48.042,162.065,0.118,7.319,49.518,0.449,0.874,4.87,2.612
mos,72,13.506,44.92,162.29,0.107,7.473,51.783,0.459,0.887,4.971,2.641
patchtst,1,11.404,54.14,210.305,0.073,4.068,84.847,0.316,0.485,1.765,1.121
patchtst,6,19.596,42.73,194.621,0.142,8.067,91.316,0.579,0.964,2.633,1.652
patchtst,12,20.394,48.027,200.068,0.139,8.55,97.833,0.614,1.0,2.714,1.685
patchtst,24,21.362,41.777,195.43,0.127,9.303,93.111,0.638,1.013,2.91,1.746
patchtst,48,21.889,48.712,207.232,0.132,10.292,127.198,0.754,1.124,3.119,1.828
patchtst,72,22.113,45.9,208.52,0.108,10.409,92.866,0.772,1.108,3.235,1.839
persistence,1,24.262,44.427,176.159,0.115,8.522,75.14,0.74,1.047,3.335,1.985
persistence,6,23.934,48.969,206.947,0.166,9.456,96.106,0.733,1.116,3.398,2.056
persistence,12,23.825,48.969,206.947,0.166,9.475,96.106,0.737,1.109,3.433,2.089
persistence,24,23.966,49.081,201.279,0.156,9.366,93.788,0.736,1.094,3.441,2.108
persistence,48,28.012,55.725,236.415,0.191,11.744,108.769,0.956,1.391,4.11,2.478
persistence,72,30.381,56.975,263.014,0.181,11.334,119.5,1.042,1.442,4.431,2.554
