baseline,horizon_h,variable,mae
persistence,1,temperature_2m,1.5
persistence,1,relative_humidity_2m,8.0
persistence,1,cloud_cover,9.0
persistence,1,wind_speed_100m,0.5
persistence,1,wind_speed_10m,1.4
persistence,1,surface_pressure,2.7000000000000455
persistence,1,precipitation,0.0
persistence,6,temperature_2m,1.6999999999999993
persistence,6,relative_humidity_2m,11.0
persistence,6,cloud_cover,0.0
persistence,6,wind_speed_100m,0.8999999999999999
persistence,6,wind_speed_10m,0.7
persistence,6,surface_pressure,3.0
persistence,6,precipitation,0.0
persistence,12,shortwave_radiation,453.0
persistence,12,direct_normal_irradiance,596.5
persistence,12,diffuse_radiation,47.0
persistence,12,temperature_2m,4.799999999999999
persistence,12,relative_humidity_2m,38.0
persistence,12,cloud_cover,0.0
persistence,12,wind_speed_100m,2.8999999999999995
persistence,12,wind_speed_10m,1.7000000000000002
persistence,12,surface_pressure,0.6000000000000227
persistence,12,precipitation,1.1
persistence,24,temperature_2m,1.5
persistence,24,relative_humidity_2m,2.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,0.8
persistence,24,wind_speed_10m,1.2999999999999998
persistence,24,surface_pressure,1.5
persistence,24,precipitation,0.0
climatology,1,temperature_2m,0.3000000000000007
climatology,1,relative_humidity_2m,1.8571428571428612
climatology,1,cloud_cover,3.0714285714285694
climatology,1,wind_speed_100m,1.0357142857142856
climatology,1,wind_speed_10m,0.42142857142857126
climatology,1,surface_pressure,1.3857142857143572
climatology,1,precipitation,0.2857142857142857
climatology,6,temperature_2m,0.25
climatology,6,relative_humidity_2m,3.785714285714292
climatology,6,cloud_cover,0.4285714285714306
climatology,6,wind_speed_100m,1.5214285714285714
climatology,6,wind_speed_10m,0.2785714285714286
climatology,6,surface_pressure,0.7571428571428669
climatology,6,precipitation,0.38571428571428573
climatology,12,shortwave_radiation,125.28571428571428
climatology,12,direct_normal_irradiance,205.25
climatology,12,diffuse_radiation,44.78571428571428
climatology,12,temperature_2m,1.7214285714285715
climatology,12,relative_humidity_2m,11.214285714285708
climatology,12,cloud_cover,0.2142857142857082
climatology,12,wind_speed_100m,2.164285714285712
climatology,12,wind_speed_10m,1.4571428571428564
climatology,12,surface_pressure,0.3785714285713766
climatology,12,precipitation,0.22142857142857153
climatology,24,temperature_2m,1.435714285714285
climatology,24,relative_humidity_2m,0.5
climatology,24,cloud_cover,5.142857142857139
climatology,24,wind_speed_100m,2.2642857142857147
climatology,24,wind_speed_10m,0.5857142857142854
climatology,24,surface_pressure,0.3714285714285097
climatology,24,precipitation,0.1142857142857143
arima,1,temperature_2m,0.2280327866973657
arima,1,relative_humidity_2m,1.2170030756609975
arima,1,cloud_cover,0.03108441868943146
arima,1,wind_speed_100m,1.863605562674389
arima,1,wind_speed_10m,0.9714408485281556
arima,1,surface_pressure,0.007435599941345572
arima,1,precipitation,0.3689432190686991
arima,6,temperature_2m,0.8913578941891149
arima,6,relative_humidity_2m,4.169461926966989
arima,6,cloud_cover,0.007251362874143297
arima,6,wind_speed_100m,0.794279898347152
arima,6,wind_speed_10m,0.18900832540828716
arima,6,surface_pressure,0.5554535315413887
arima,6,precipitation,0.7183559743650162
arima,12,shortwave_radiation,359.95706576583245
arima,12,direct_normal_irradiance,32.78271468064334
arima,12,diffuse_radiation,311.7357021395301
arima,12,temperature_2m,1.7075522260964817
arima,12,relative_humidity_2m,2.32118697330435
arima,12,cloud_cover,0.012931824338437536
arima,12,wind_speed_100m,6.3119728587556505
arima,12,wind_speed_10m,5.676136693562631
arima,12,surface_pressure,1.4000075102339906
arima,12,precipitation,0.535347190914447
arima,24,temperature_2m,0.7621998641186618
arima,24,relative_humidity_2m,3.734124214377516
arima,24,cloud_cover,0.01147482155721491
arima,24,wind_speed_100m,1.28792131734142
arima,24,wind_speed_10m,1.1765859373495156
arima,24,surface_pressure,1.499964143622492
arima,24,precipitation,0.7682401786897548
persistence,1,temperature_2m,0.8000000000000007
persistence,1,relative_humidity_2m,1.0
persistence,1,cloud_cover,0.0
persistence,1,wind_speed_100m,0.5
persistence,1,wind_speed_10m,0.3999999999999999
persistence,1,surface_pressure,0.39999999999997726
persistence,1,precipitation,0.1
persistence,6,shortwave_radiation,269.0
persistence,6,direct_normal_irradiance,247.2
persistence,6,diffuse_radiation,61.0
persistence,6,temperature_2m,2.200000000000001
persistence,6,relative_humidity_2m,10.0
persistence,6,cloud_cover,4.0
persistence,6,wind_speed_100m,2.0
persistence,6,wind_speed_10m,1.3000000000000007
persistence,6,surface_pressure,0.7000000000000455
persistence,6,precipitation,0.8
persistence,12,shortwave_radiation,61.0
persistence,12,direct_normal_irradiance,73.3
persistence,12,diffuse_radiation,28.0
persistence,12,temperature_2m,0.1999999999999993
persistence,12,relative_humidity_2m,2.0
persistence,12,cloud_cover,0.0
persistence,12,wind_speed_100m,2.0
persistence,12,wind_speed_10m,2.4000000000000004
persistence,12,surface_pressure,0.6999999999999318
persistence,12,precipitation,1.5
persistence,24,temperature_2m,1.0999999999999996
persistence,24,relative_humidity_2m,11.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,1.1
persistence,24,wind_speed_10m,1.0999999999999999
persistence,24,surface_pressure,1.2999999999999545
persistence,24,precipitation,0.1
climatology,1,temperature_2m,0.19285714285714484
climatology,1,relative_humidity_2m,3.642857142857139
climatology,1,cloud_cover,0.4285714285714306
climatology,1,wind_speed_100m,0.17857142857142883
climatology,1,wind_speed_10m,0.48571428571428554
climatology,1,surface_pressure,0.6499999999999773
climatology,1,precipitation,0.4285714285714286
climatology,6,shortwave_radiation,169.5
climatology,6,direct_normal_irradiance,71.92857142857142
climatology,6,diffuse_radiation,106.92857142857144
climatology,6,temperature_2m,0.7500000000000018
climatology,6,relative_humidity_2m,0.7142857142857082
climatology,6,cloud_cover,3.785714285714292
climatology,6,wind_speed_100m,0.2071428571428564
climatology,6,wind_speed_10m,0.2071428571428564
climatology,6,surface_pressure,1.0500000000000682
climatology,6,precipitation,0.5071428571428573
climatology,12,shortwave_radiation,67.35714285714286
climatology,12,direct_normal_irradiance,126.83571428571427
climatology,12,diffuse_radiation,11.428571428571416
climatology,12,temperature_2m,0.5285714285714285
climatology,12,relative_humidity_2m,3.0714285714285694
climatology,12,cloud_cover,3.785714285714292
climatology,12,wind_speed_100m,0.44285714285714217
climatology,12,wind_speed_10m,1.1357142857142861
climatology,12,surface_pressure,0.47142857142853245
climatology,12,precipitation,0.6357142857142857
climatology,24,temperature_2m,0.9857142857142858
climatology,24,relative_humidity_2m,8.42857142857143
climatology,24,cloud_cover,0.4285714285714306
climatology,24,wind_speed_100m,0.9928571428571429
climatology,24,wind_speed_10m,1.2928571428571427
climatology,24,surface_pressure,0.685714285714198
climatology,24,precipitation,0.39285714285714285
persistence,1,shortwave_radiation,55.0
persistence,1,direct_normal_irradiance,65.29999999999998
persistence,1,diffuse_radiation,6.0
persistence,1,temperature_2m,1.200000000000001
persistence,1,relative_humidity_2m,5.0
persistence,1,cloud_cover,1.0
persistence,1,wind_speed_100m,1.7000000000000002
persistence,1,wind_speed_10m,0.7999999999999998
persistence,1,surface_pressure,0.10000000000002274
persistence,1,precipitation,5.3999999999999995
persistence,6,shortwave_radiation,80.0
persistence,6,direct_normal_irradiance,148.1
